dir,lang,newx
up,backward,172.3967991
down,forward,176.9727636
down,forward,139.1944526
up,backward,131.2663282
down,forward,323.7228784
up,backward,154.4654037
up,backward,141.1631815
down,forward,112.2175461
up,forward,121.7419372
down,backward,120.4649238
down,forward,170.2684436
down,forward,106.4177772
down,forward,131.5855816
up,forward,159.3606214
down,forward,143.1319104
up,forward,123.1785772
up,forward,32.45742206
up,backward,124.3491727
down,backward,177.9305236
up,forward,74.91811518
up,forward,143.344746
down,forward,119.2943283
down,backward,128.0737949
down,forward,105.7792706
up,forward,122.4868616
down,forward,123.7638749
up,backward,100.7244262
down,backward,40.38554647
down,forward,304.6208874
down,forward,99.92629284
down,backward,86.19839957
down,forward,160.3715903
down,forward,108.7057595
down,forward,146.3776526
down,forward,146.2180259
down,forward,334.7903272
up,backward,138.2366926
up,forward,105.7260617
up,backward,131.0002838
up,forward,121.5823105
up,backward,157.3918925
down,backward,142.5998215
up,forward,176.5470925
down,backward,119.8264172
down,forward,148.6124259
down,backward,80.77109293
up,forward,143.5575815
down,forward,188.5723013
up,forward,113.4945594
up,forward,112.0047106
down,backward,105.8324795
down,forward,286.2638208
down,backward,137.0128882
up,backward,150.6875726
up,backward,157.9771903
down,forward,273.9725675
up,forward,143.1319104
down,forward,133.8735638
down,backward,80.23900404
up,forward,156.1148792
up,forward,326.9686206
up,forward,152.9755548
up,forward,120.4649238
up,forward,101.5225595
up,backward,139.9393771
down,backward,148.6124259
down,forward,296.9055985
up,backward,118.017315
down,backward,129.5636438
up,forward,98.96853284
up,forward,118.8154483
down,forward,126.6371549
down,forward,118.6026127
down,backward,95.4035373
down,backward,108.9718039
down,forward,461.0550199
down,forward,133.5011016
up,forward,110.5148617
up,forward,126.6903638
up,backward,136.8532615
down,forward,238.1629855
up,forward,82.36735959
down,forward,145.3134748
up,backward,137.8110215
up,backward,314.9434118
up,forward,182.0808169
up,forward,141.6420615
down,forward,129.4040171
up,backward,126.3711105
down,backward,108.9718039
down,forward,182.7193235
down,backward,121.5823105
down,backward,126.6371549
up,forward,139.6201237
down,backward,104.8747195
up,forward,148.8784704
up,forward,144.6217593
down,backward,133.288266
up,backward,131.4791638
down,backward,150.9004081
up,backward,120.6777594
up,forward,103.0656173
up,backward,142.4934037
down,forward,168.9382214
down,backward,124.2427549
up,backward,178.9947013
down,forward,138.555946
down,backward,128.499466
down,forward,380.9756425
up,backward,160.6908436
up,backward,151.2728704
up,backward,117.7512705
down,backward,134.1396082
up,backward,131.0534927
up,forward,111.791875
up,forward,110.4616528
up,backward,314.5177407
down,backward,60.12604414
up,forward,42.51390201
down,backward,116.6870928
up,forward,134.1396082
down,backward,105.087555
up,forward,150.6875726
up,backward,135.4166215
up,backward,172.1307547
up,backward,148.9316793
down,backward,154.784657
down,forward,145.2602659
down,forward,136.0019193
up,forward,-25.22101321
up,backward,115.9421683
down,forward,153.2415992
down,backward,146.0051904
up,backward,152.9223459
down,backward,150.9004081
up,backward,151.8049592
down,forward,132.0644616
down,forward,187.6677502
up,forward,90.66794621
up,forward,137.0128882
up,forward,107.5351639
up,forward,138.7687815
up,forward,44.48263089
down,forward,104.2362128
up,backward,151.0068259
up,backward,190.6474479
down,backward,125.5729772
down,backward,122.9657416
down,backward,123.7106661
up,backward,140.0990037
up,forward,146.8033237
down,forward,141.0567637
up,backward,154.4121948
down,backward,122.9125327
up,backward,108.1736706
up,backward,118.0705239
up,backward,135.3634127
down,forward,145.5795193
up,forward,136.2679638
down,backward,159.2542037
down,backward,116.3146305
down,forward,153.826897
up,forward,77.25930628
up,forward,128.9251371
up,backward,129.0315549
down,forward,120.3052972
down,forward,192.7758035
down,forward,118.8154483
up,backward,157.8175637
down,backward,127.7545416
down,backward,121.9547727
down,backward,107.1094928
down,backward,125.0940972
up,forward,151.6985415
up,forward,126.4775283
down,forward,160.3183814
up,backward,443.8685489
down,forward,151.7517504
up,backward,177.717688
down,forward,180.5377591
